IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
2,6,5,5,2,6,4,1,5,1,High school,Female,227.0,GBR,19.0,Europe
3,5,3,1,3,5,2,2,5,1,High school,Female,228.0,USA,20.0,North America
7,5,5,5,6,5,2,6,5,1,High school,Female,100.0,USA,18.0,North America
3,3,6,1,4,3,2,4,5,1,High school,Female,228.0,USA,21.0,North America
3,1,1,3,5,2,1,4,1,1,High school,Female,103.0,AUS,20.0,Oceania
4,2,4,2,2,4,2,1,2,1,High school,Female,13.0,AUS,19.0,Oceania
4,6,6,5,5,3,2,3,5,1,High school,Female,13.0,AUS,18.0,Oceania
4,2,3,4,5,1,2,2,4,1,High school,Female,100.0,AUS,18.0,Oceania
5,5,6,2,4,7,4,6,6,1,High school,Female,200.0,AUS,19.0,Oceania
5,5,1,2,6,2,6,6,3,1,Bachelor's degree,Male,13.0,AUS,18.0,Oceania
6,3,3,2,6,5,6,6,6,1,Bachelor's degree,Female,13.0,AUS,19.0,Oceania
7,7,5,3,5,6,4,6,7,1,Bachelor's degree,Female,131.0,AUS,20.0,Oceania
3,6,5,5,6,2,6,6,3,1,High school,Female,228.0,USA,20.0,North America
4,4,6,3,3,5,5,3,5,1,Bachelor's degree,Female,13.0,AUS,32.0,Oceania
5,6,3,6,5,5,3,2,5,1,High school,Male,13.0,AUS,25.0,Oceania
6,2,7,5,2,2,1,4,4,1,Bachelor's degree,Female,172.0,AUS,20.0,Oceania
5,4,3,5,2,1,1,1,2,1,High school,Female,13.0,AUS,20.0,Oceania
1,6,3,1,1,5,2,6,5,1,High school,Male,108.0,USA,19.0,North America
5,1,1,1,5,1,1,1,1,1,Bachelor's degree,I wish not to answer,13.0,AUS,45.0,Oceania
3,2,5,1,3,3,2,5,4,1,High school,Female,13.0,AUS,18.0,Oceania
5,3,3,6,2,2,5,2,2,1,High school,Female,100.0,AUS,19.0,Oceania
4,4,5,4,4,1,4,4,4,1,Bachelor's degree,Female,13.0,AUS,19.0,Oceania
6,6,7,5,3,5,7,7,5,1,Bachelor's degree,Male,172.0,AUS,27.0,Oceania
6,2,2,3,5,2,5,1,3,1,Bachelor's degree,Female,13.0,AUS,21.0,Oceania
7,1,1,1,1,1,1,1,1,1,Bachelor's degree,Male,13.0,AUS,26.0,Oceania
7,6,3,3,3,5,5,5,3,1,Bachelor's degree,Female,13.0,AUS,20.0,Oceania
3,5,5,3,3,4,6,4,3,1,High school,Female,228.0,USA,18.0,North America
4,3,5,2,2,4,4,4,4,1,High school,Female,228.0,USA,18.0,North America
2,4,4,3,4,5,3,3,3,1,High school,Female,13.0,AUS,19.0,Oceania
6,6,3,3,5,5,5,2,5,1,High school,Female,156.0,AUS,19.0,Oceania
5,6,2,3,2,5,1,7,5,1,Bachelor's degree,Female,228.0,AUS,23.0,Oceania
3,2,2,3,2,2,2,4,2,1,High school,Female,13.0,AUS,19.0,Oceania
